comision_entrante,iniciativa,estado_actual,id_proyecto,titulo,fecha_radicacion
Comision Primera de Camara de Representantes,Legislativa,Retirado por el Autor,7642,Por el cual se modifica el articulo 258 de la Constitucion Politica de Colombia. [Voto obligatorio],2014-07-20
Comision Sexta de Camara de Representantes,Legislativa,Archivado en Debate,7654,Por la cual se elimina el cargo fijo como componente de las estructuras tarifarias de los Servicios Publicos Domiciliarios|| y se dictan otras disposiciones. [Cargo fijo servicios publicos],2014-07-20
Comision Primera de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7650,Por la cual se modifica la Ley 130 de 1994|| en materia de financiacion de las campannas de los candidatos a las Juntas Administradoras Locales. [Financiacion campannas ediles],2014-07-20
Comision Cuarta de Senado,Legislativa,Retirado por el Autor,7611,Por medio del cual se establece el uso de la bandera nacional en todo producto hecho en Colombia. [Uso de la bandera en productos colombianos],2014-07-20
Comision Primera de Camara de Representantes,Legislativa,Retirado por el Autor,7638,Por el cual se dereoga una Acto Legislativo|| se restablece la redaccion original de unos articulos y se adiciona un articulo a la Constitucion Politica de Colombia. [Elimina la reeleccion presidencial],2014-07-20
Comision Quinta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7652,Por medio de la cual se declara una politica de campesinidad agrorural en Colombia y se reconoce la participacion politica del campesino y se dictan otras disposiciones. [Bienestar del campesinado],2014-07-20
Comision Septima de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7671,"Por medio de la cual se modifica la Ley 181 de enero 18 de 1995 sobre el fomento del deporte|| la recreacion|| el aprovechamiento del tiempo libre y la educacion fisica, se crea el Sistema Nacional del Deporte, e introducen nuevas disposiciones. [Sistema Nacional del Deporte]",2014-07-20
Comision Primera de Senado,Legislativa,Archivado en Debate,7665,Por el cual se modifica el articulo 20 de la Constitucion Politica|| se establece el acceso a banda ancha en Internet como derecho fundamental y se dictan otras disposiciones. [Acceso a Internet como derecho fundamental],2014-07-20
Comision Primera de Senado,Legislativa,Archivado por Transito de Legislatura,7612,Por medio del cual se modifica el articulo 19 de la Ley 678 de 2001 que reglamento la determinacion de responsabilidad patrimonial de los agentes del Estado a traves del ejercicio de la accion de repeticion o de llamamiento en garantia con fines de repeticion. [Accion de repeticion],2014-07-20
Comision Primera de Senado,Legislativa,Acumulado,7661,Por medio del cual se reforman los articulos 190 y 197 de la Constitucion Politica de Colombia. [Prohibicion reeleccion presidencial],2014-07-20
Comision Tercera de Senado,Legislativa,Archivado en Debate,7608,Por medio de la cual se crea la Ley de Metrologia. [Ley de metrologia],2014-07-20
Comision Primera de Senado,Legislativa,Acumulado,7660,Por el cual se modifican algunos articulos de la Constitucion Politica y se reajusta el equilibrio de poderes. [Estructura del Estado],2014-07-20
Comision Primera de Camara de Representantes,Legislativa,Archivado por Vencimiento de Terminos,7640,Por el cual se modifica un articulo de la Constitucion Politica de Colombia. [Obligatoriedad del voto a servidores publicos],2014-07-20
Comision Quinta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7670,Por el cual se fortalecen las medidas para la proteccion de las aguas subterraneas. [Proteccion aguas subterraneas],2014-07-20
Comision Sexta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7658,Por la cual se organiza el servicio publico de la educacion y formacion profesional|| antes denominada educacion para el trabajo y el desarrollo humano. [Educacion y formacion profesional],2014-07-20
